Exp,Group (from pres),Group Code,Code,"abundant', 'common', 'few', 'rare'",Definition,,"Extracted from heterogeneous ""group abundance""-related Field at collection level",,
369,Preservation (planktic foram),C,C,Common,common (10%ะ30% of sediment particles),common,,,
369,Preservation (planktic foram),F,F,Few,few (5% to <10% of sediment particles),few,,,
369,Preservation (planktic foram),P,P,Rare,"undefined, suggest present (<1% of the sediment particles)",rare,,,
369,Preservation (planktic foram),R,R,Rare,rare (<5% of sediment particles),rare,,,
370,(benthic foram),B,B,Barren,barren,barren,,,
371,(benthic foram),A,A,Abundant,abundant (>10%ะ30% benthic foraminifera to sediment particles),abundant,,,
371,(benthic foram),B,B,Barren,barren,barren,,,
371,(benthic foram),F,F,Few,few (>5% to <10% benthic foraminifera to sediment particles),few,,,
371,(benthic foram),P,P,Rare,present (<1% benthic foraminifera to sediment particles),rare,,,
371,(nannos),B,B,Barren,barren,barren,,,
371,(nannos),VR,VR,Rare,"undefined, suggest very rare (<<1% of sediment particles)",rare,,,
371,(planktic foram),B,B,Barren,barren,barren,,,
371,(planktic foram),P,P,Rare,present (<1% benthic foraminifera to sediment particles),rare,,,
371,(rads),B,B,Barren,barren,barren,,,
371,(rads),tr,X,Rare,trace (1ะ10 specimens per slide),rare,,,
371,Preservation (benthic foram),A,A,Abundant,abundant (>50%ะ90% benthic foraminifera to sediment particles),abundant,,,
371,Preservation (benthic foram),E,,,,,Likely preservation not abundance,,
371,Preservation (benthic foram),F,F,Few,few (1%ะ10% benthic foraminifera to sediment particles),few,,,
371,Preservation (benthic foram),M,,,,,Likely preservation not abundance,,
371,Preservation (benthic foram),P,P,Rare,present (<1% benthic foraminifera to sediment particles),rare,,,
371,Preservation (benthic foram),VG,,,,,Likely preservation not abundance,,
371,Preservation (nannos),a,A,Abundant,abundant (>50%ะ90% of sediment particles),abundant,,,
371,Preservation (nannos),A,A,Abundant,abundant (>50%ะ90% of sediment particles),abundant,,,
371,Preservation (nannos),ALMOST BARREN,R,Rare,"undefined, suggest rare (<1% of sediment particles) Original code = ALMOST BARREN",rare,,,
371,Preservation (nannos),C,C,Common,common (>10%ะ50% of sediment particles),common,,,
371,Preservation (nannos),F,F,Few,few (1%ะ10% of sediment particles),few,,,
371,Preservation (nannos),F/R,F-R,Few,"undefined, suggest ~1% of sediment particles",few,,,
371,Preservation (nannos),R,R,Rare,rare (<1% of sediment particles),rare,,,
371,Preservation (nannos),VR,VR,Rare,"undefined, suggest very rare (<<1% of sediment particles)",rare,,,
371,Preservation (planktic foram),A,A,Abundant,abundant (>50%ะ90% planktic foraminifera to sediment particles),abundant,,,
371,Preservation (planktic foram),B,B,Barren,barren,barren,,,
371,Preservation (planktic foram),D,D,Abundant,dominant (>30% planktic foraminifera to sediment particles),abundant,,,
371,Preservation (planktic foram),F,F,Few,few (1%ะ10% benthic foraminifera to sediment particles),few,,,
371,Preservation (planktic foram),P,P,Rare,present (<1% benthic foraminifera to sediment particles),rare,,,
371,Preservation (planktic foram),R,R,Rare,rare (>1% to <5% of sediment particles; only applies to planktic foraminifers),rare,,,
371,Preservation (rads),A,A,Abundant,abundant (>100 specimens per slide traverse),abundant,,,
371,Preservation (rads),C,C,Common,common (51ะ100 specimens per slide traverse),common,,,
371,Preservation (rads),F,F,Few,few (11ะ50 specimens per slide traverse),few,,,
371,Preservation (rads),R,R,Rare,rare (1?10 specimens per slide traverse),rare,,,
371,Preservation (rads),tr,X,Rare,trace (1ะ10 specimens per slide),rare,,,
371,Preservation (rads),Tr,X,Rare,trace (1ะ10 specimens per slide),rare,,,
372,(benthic foram),B,B,Barren,barren,barren,,,
372,Preservation (nannos),A,A,Abundant,abundant (>50%ะ90% of sediment particles),abundant,,,
372,Preservation (nannos),C,C,Common,common (>10%ะ50% of sediment particles),common,,,
372,Preservation (nannos),F,F,Few,few (1%ะ10% of sediment particles),few,,,
373,(benthic foram),B,B,Barren,barren,barren,,,
374,(benthic foram),B,B,Barren,barren,barren,,,
374,(diatoms),B,B,Barren,barren,barren,,,
374,(nannos),B,B,Barren,barren,barren,,,
374,Preservation (benthic foram),A,A,Abundant,abundant (>25%ะ50% benthic foraminifera to sediment particles),abundant,,,
374,Preservation (benthic foram),C,C,Common,common (>10%ะ25% benthic foraminifera to sediment particles),common,,,
374,Preservation (benthic foram),F,F,Few,few (>5%ะ10% benthic foraminifera to sediment particles),few,,,
374,Preservation (benthic foram),P,P,Rare,present (<1% benthic foraminifera to sediment particles),rare,,,
374,Preservation (benthic foram),R,R,Rare,rare (>1%ะ5% benthic foraminifera to sediment particles),rare,,,
374,Preservation (diatoms),A,A,Abundant,abundant (>5 complete valves per field of view),abundant,,,
374,Preservation (diatoms),C,C,Common,common (2 to 5 complete valves per field of view),common,,,
374,Preservation (diatoms),F,Freq,Abundant,frequent (1 complete valve in 1 to 5 fields of view),abundant,,,
374,Preservation (diatoms),R,R,Rare,rare (1 complete valve in 6 to 30 fields of view),rare,,,
374,Preservation (diatoms),Tr,X,Rare,trace (very rare valves or diatom fragments),rare,,,
374,Preservation (nannos),R,R,Rare,rare (1 or more specimens per traverse of a 30 mm cover glass),rare,,,
374,Preservation (nannos),VR,VR,Rare,very rare (<1 specimen per traverse),rare,,,
374,Preservation (rads),A,A,Abundant,abundant (>100 specimens per slide traverse),abundant,,,
374,Preservation (rads),B,B,Barren,barren,barren,,,
374,Preservation (rads),C,C,Common,common (51ะ100 specimens per slide traverse),common,,,
374,Preservation (rads),F,Freq,Abundant,frequent (11ะ50 specimens per traverse),abundant,,,
374,Preservation (rads),R,R,Rare,rare (1?10 specimens per slide traverse),rare,,,
374,Preservation (rads),Tr,X,Rare,trace (1ะ10 specimens/slide),rare,,,
375,(nannos),B,B,Barren,barren,barren,,,
375,Preservation (benthic foram),A,A,Abundant,abundant (foraminifers compose >20%ะ50% of the washed sample),abundant,,,
375,Preservation (benthic foram),C,C,Common,common (foraminifers compose >5%ะ20% of the washed sample),common,,,
375,Preservation (benthic foram),D,D,Abundant,dominant (foraminifers compose >50% of the washed sample),abundant,,,
375,Preservation (benthic foram),F,F,Few,few (foraminifers compose 1%ะ5% of the washed sample),few,,,
375,Preservation (benthic foram),P,P,Rare,"undefined, suggest present (present in sample; abundance undetermined) Original code = P, present in methods is X",rare,,,
375,Preservation (benthic foram),R,R,Rare,rare (foraminifers compose <1% of the washed sample),rare,,,
375,Preservation (nannos),A,A,Abundant,abundant (>50%ะ90% of sediment particles),abundant,,,
375,Preservation (nannos),C,C,Common,common (>10%ะ50% of sediment particles),common,,,
375,Preservation (nannos),D,D,Abundant,dominant (>90% of sediment particles),abundant,,,
375,Preservation (nannos),F,F,Few,few (1%ะ10% of sediment particles),few,,,
375,Preservation (nannos),R,R,Rare,rare (<1% of sediment particles),rare,,,
375,Preservation (planktic foram),A,A,Abundant,abundant (foraminifers compose >20%ะ50% of the washed sample),abundant,,,
375,Preservation (planktic foram),C,C,Common,common (foraminifers compose >5%ะ20% of the washed sample),common,,,
375,Preservation (planktic foram),D,D,Abundant,dominant (foraminifers compose >50% of the washed sample),abundant,,,
375,Preservation (planktic foram),F,F,Few,few (foraminifers compose 1%ะ5% of the washed sample),few,,,
375,Preservation (planktic foram),R,R,Rare,rare (foraminifers compose <1% of the washed sample),rare,,,
376,(benthic foram),B,B,Barren,barren,barren,,,
377,(benthic foram),B,B,Barren,barren,barren,,,
378,Preservation (benthic foram),F,F,Few,few (>5%ะ10% benthic foraminifers to total sediment particles).,few,,,
379,Preservation (benthic foram),R,R,Rare,"undefined, suggest rare (foraminifers compose <1% of the washed sample)",rare,,,
380,Preservation (benthic foram),F,,Few,,,I think there's something wrong w/ the Exp numbers here,,
381,Preservation (benthic foram),R,,Rare,,,I think there's something wrong w/ the Exp numbers here,,
382,(benthic foram),B,B,Barren,barren,barren,,,
383,(benthic foram),B,B,Barren,barren,barren,,,
384,Preservation (benthic foram),R,,Rare,,,I think there's something wrong w/ the Exp numbers here,,
385,Preservation (benthic foram),F,,Few,,,I think there's something wrong w/ the Exp numbers here,,
386,Preservation (benthic foram),F,,Few,,,I think there's something wrong w/ the Exp numbers here,,
387,Preservation (benthic foram),P,,Rare,,,I think there's something wrong w/ the Exp numbers here,,
388,Preservation (benthic foram),P,,Rare,,,I think there's something wrong w/ the Exp numbers here,,
389,Preservation (benthic foram),P,,Rare,,,I think there's something wrong w/ the Exp numbers here,,
390,Preservation (benthic foram),R,,Rare,,,I think there's something wrong w/ the Exp numbers here,,

